"","prof","ein","fisyr","Accrual","age","FS_Totrev_adj","UNAgrand","HHI","GovtMoneyRat","FixedCostRat","EqRat_w","SurplusRat_ndrop_w892","ProfFundFeeYes","Subsector2","FY1998","FY1999","FY2000","FY2001","FY2002","FY2003","JustNowProfessionalized","waffle","D1","D2","D3","D4","D5","D6","AGE","Age2","Age3","Age4","Age5","EqRat_w_K"
"1",0,10211502,1999,1,1,77196.6850828729,0,0.331361797745137,0.339593203841805,0,463788,0.253391289822692,0,"Edu(Exclu Higher)",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,463.788
"2",1,10211502,2000,1,2,302158.11965812,0,0.650543320604572,0.06092921292695,0.385347106762245,688635,0.379844050940117,0,"Edu(Exclu Higher)",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,688.635
"10",0,10435507,2001,0,3,22254.4132917965,11.8691588785047,0.816362552713439,0,0,11430,-0.438319019121114,0,"Human Svcs",0,0,0,1,0,0,NA,0,0,0,0,1,0,0,4,16,64,256,1024,11.43
"11",0,10435507,2002,0,4,38845.6032719836,10.5664621676892,0.83342963944985,0,0,10334,-0.156981086902082,0,"Human Svcs",0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,25,125,625,3125,10.334
"18",0,10482891,1999,0,1,48137.0165745856,0,1,0,0,1406,-0.0670515636382083,0,"Human Svcs",0,1,0,0,0,0,NA,0,0,1,0,0,0,0,2,4,8,16,32,1.406
"19",0,10482891,2000,0,2,46808.7606837607,0,1,0,0,7336,0.118454000571873,0,"Human Svcs",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,9,27,81,243,7.336
"20",0,10482891,2001,0,3,46343.717549325,0,1,0,0,20169,0.286241846088916,0,"Human Svcs",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,20.169
"21",0,10482891,2003,0,5,39729,0,1,0,0,0,0.0476466146488799,0,"Human Svcs",0,0,0,0,0,1,NA,0,0,0,0,0,0,1,6,36,216,1296,7776,0
"27",0,10494938,1998,0,0,0,0,0,0,0,750,-6.76835413597953,0,"Arts",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,1,1,1,1,0.75
"28",0,10494938,1999,0,1,0,0,0,0,0,3296,-6.76835413597953,0,"Arts",0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,8,16,32,3.296
"29",1,10494938,2000,0,2,134188.034188034,0,0.506572274737312,0.557324840764331,0,29825,0.237465873661961,1,"Arts",0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,9,27,81,243,29.825
"30",0,10500759,2000,1,2,3963.67521367521,0,0.501124841819119,0,0,47379,-4.55681908823003,0,"Other",0,0,1,0,0,0,NA,0,0,0,1,0,0,0,3,9,27,81,243,47.379
"31",0,10500759,2001,1,3,2414.33021806854,0,0.551669889765073,0,0,51750,-6.76835413597953,0,"Other",0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,16,64,256,1024,51.75
